t,ch1,ch2,ch3
-3.80E-07,0.016965,0.40553358,-0.0043478259
-3.78E-07,-0.01469,0.24743083,0.019367589
-3.76E-07,0.016965,0.089328066,0.0075098816
-3.74E-07,-0.00666,0.089328066,-0.00039525691
-3.72E-07,0.001217,0.089328066,0.011462451
-3.70E-07,-0.01469,0.089328066,0.11818182
-3.68E-07,-0.02256,0.089328066,-0.0043478259
-3.66E-07,0.016965,0.089328066,0.011462451
-3.64E-07,-0.01469,0.24743083,-0.00039525691
-3.62E-07,0.001217,0.24743083,-0.00039525691
-3.60E-07,0.001217,0.24743083,0.011462451
-3.58E-07,-0.01469,0.24743083,0.10237154
-3.56E-07,0.001217,0.089328066,-0.0083003957
-3.54E-07,0.001217,0.24743083,0.019367589
-3.52E-07,-0.00666,0.089328066,-0.00039525691
-3.50E-07,-0.00666,0.089328066,0.0075098816
-3.48E-07,0.009091,0.24743083,-0.00039525691
-3.46E-07,0.001217,0.089328066,0.086561263
-3.44E-07,-0.01469,0.24743083,-0.016205534
-3.42E-07,0.009091,-0.0687747,0.023320159
-3.40E-07,0.009091,0.089328066,0.0035573123
-3.38E-07,-0.00666,0.24743083,0.011462451
-3.36E-07,0.009091,0.089328066,0.0035573123
-3.34E-07,-0.02256,0.40553358,0.058893282
-3.32E-07,-0.02256,0.24743083,-0.016205534
-3.30E-07,0.009091,0.40553358,0.019367589
-3.28E-07,-0.02256,0.24743083,-0.00039525691
-3.26E-07,-0.00666,0.089328066,-0.00039525691
-3.24E-07,-0.00666,0.40553358,0.015415019
-3.22E-07,-0.03043,0.24743083,0.058893282
-3.20E-07,0.009091,0.40553358,-0.0083003957
-3.18E-07,-0.02256,0.089328066,0.019367589
-3.16E-07,-0.01469,0.089328066,-0.0043478259
-3.14E-07,0.001217,0.089328066,-0.00039525691
-3.12E-07,-0.01469,0.089328066,0.023320159
-3.10E-07,0.001217,0.089328066,0.043083005
-3.08E-07,0.009091,0.089328066,-0.00039525691
-3.06E-07,-0.01469,0.24743083,0.0075098816
-3.04E-07,-0.01469,0.089328066,0.0075098816
-3.02E-07,-0.02256,0.24743083,0.0035573123
-3.00E-07,-0.02256,-0.0687747,0.074703559
-2.98E-07,0.009091,0.089328066,0.031225296
-2.96E-07,-0.01469,0.24743083,-0.0043478259
-2.94E-07,-0.00666,0.24743083,0.019367589
-2.92E-07,-0.00666,0.24743083,-0.0043478259
-2.90E-07,-0.00666,0.089328066,0.0075098816
-2.88E-07,0.016965,0.089328066,0.12608695
-2.86E-07,0.009091,-0.0687747,0.023320159
-2.84E-07,-0.02256,0.24743083,0.0075098816
-2.82E-07,-0.03043,0.089328066,0.023320159
-2.80E-07,-0.00666,0.089328066,-0.00039525691
-2.78E-07,0.001217,0.089328066,0.015415019
-2.76E-07,-0.01469,0.24743083,0.15375493
-2.74E-07,-0.01469,-0.0687747,0.015415019
-2.72E-07,-0.02256,0.089328066,0.011462451
-2.70E-07,-0.00666,0.089328066,0.0075098816
-2.68E-07,0.009091,0.089328066,-0.00039525691
-2.66E-07,-0.01469,0.24743083,0.015415019
-2.64E-07,0.024839,0.40553358,0.16166008
-2.62E-07,-0.00666,0.40553358,0.011462451
-2.60E-07,-0.02256,0.089328066,0.015415019
-2.58E-07,-0.01469,0.24743083,0.0035573123
-2.56E-07,0.001217,0.24743083,-0.00039525691
-2.54E-07,0.001217,0.24743083,0.0075098816
-2.52E-07,0.001217,0.089328066,0.14189723
-2.50E-07,0.024839,0.089328066,-0.0043478259
-2.48E-07,0.001217,0.24743083,0.027272727
-2.46E-07,-0.02256,0.24743083,0.0075098816
-2.44E-07,-0.02256,0.40553358,0.0035573123
-2.42E-07,-0.01469,0.089328066,0.011462451
-2.40E-07,-0.00666,0.24743083,0.11818182
-2.38E-07,0.016965,0.089328066,-0.0083003957
-2.36E-07,-0.02256,0.24743083,0.019367589
-2.34E-07,-0.00666,0.089328066,0.0035573123
-2.32E-07,0.001217,0.089328066,0.0075098816
-2.30E-07,-0.00666,0.089328066,0.0075098816
-2.28E-07,-0.02256,0.089328066,0.10237154
-2.26E-07,-0.02256,0.089328066,-0.0043478259
-2.24E-07,0.001217,0.089328066,0.019367589
-2.22E-07,0.009091,0.24743083,0.0035573123
-2.20E-07,0.001217,0.24743083,0.0035573123
-2.18E-07,-0.00666,0.24743083,0.0075098816
-2.16E-07,-0.01469,0.24743083,0.07865613
-2.14E-07,0.001217,0.089328066,-0.012252964
-2.12E-07,0.009091,0.24743083,0.015415019
-2.10E-07,-0.00666,0.24743083,-0.0043478259
-2.08E-07,-0.03043,0.089328066,0.0075098816
-2.06E-07,-0.02256,-0.0687747,-0.00039525691
-2.04E-07,-0.00666,0.24743083,0.062845849
-2.02E-07,-0.02256,-0.0687747,-0.0043478259
-2.00E-07,-0.02256,0.24743083,0.015415019
-1.98E-07,-0.02256,0.089328066,-0.00039525691
-1.96E-07,0.009091,0.40553358,0.0075098816
-1.94E-07,0.009091,0.089328066,0.015415019
-1.92E-07,0.001217,0.089328066,0.047035575
-1.90E-07,0.001217,0.24743083,-0.0043478259
-1.88E-07,-0.01469,0.40553358,0.023320159
-1.86E-07,-0.03043,0.089328066,-0.0043478259
-1.84E-07,-0.01469,0.24743083,0.0035573123
-1.82E-07,0.001217,0.089328066,0.039130434
-1.80E-07,-0.03043,0.089328066,0.035177864
-1.78E-07,-0.02256,0.089328066,-0.0083003957
