t,ch1,ch2,ch3
-9.50E-07,-0.02256,0.089328,0.022925
-9.49E-07,0.016965,0.247431,-0.0087
-9.48E-07,-0.00666,0.247431,0.01502
-9.47E-07,-0.00666,0.247431,0.022925
-9.46E-07,-0.01469,0.089328,0.01502
-9.45E-07,-0.02256,0.247431,0.173123
-9.44E-07,-0.03043,0.089328,0.212648
-9.43E-07,-0.02256,0.089328,0.054545
-9.42E-07,-0.00666,0.089328,-0.0166
-9.41E-07,-0.02256,0.247431,-0.00079
-9.40E-07,-0.01469,0.247431,0.03083
-9.39E-07,-0.01469,0.089328,0.038735
-9.38E-07,-0.02256,0.089328,0.007115
-9.37E-07,0.001217,0.089328,-0.0087
-9.36E-07,0.001217,0.089328,0.01502
-9.35E-07,0.009091,0.089328,0.01502
-9.34E-07,-0.00666,0.089328,0.007115
-9.33E-07,-0.01469,0.247431,0.252174
-9.32E-07,0.001217,0.247431,0.157312
-9.31E-07,-0.01469,0.247431,0.03083
-9.30E-07,-0.02256,0.089328,-0.02451
-9.29E-07,0.016965,0.089328,0.01502
-9.28E-07,-0.02256,0.247431,0.04664
-9.27E-07,-0.03043,0.247431,0.022925
-9.26E-07,-0.01469,0.089328,0.007115
-9.25E-07,0.009091,0.089328,-0.0087
-9.24E-07,0.009091,0.247431,0.007115
-9.23E-07,0.001217,0.089328,0.01502
-9.22E-07,-0.01469,0.247431,0.01502
-9.21E-07,0.016965,0.089328,0.30751
-9.20E-07,-0.00666,0.247431,0.125692
-9.19E-07,0.001217,0.089328,0.022925
-9.18E-07,-0.00666,0.247431,-0.02451
-9.17E-07,-0.02256,0.247431,0.01502
-9.16E-07,-0.02256,0.247431,0.03083
-9.15E-07,-0.01469,0.247431,0.01502
-9.14E-07,-0.01469,0.089328,0.007115
-9.13E-07,0.009091,0.247431,-0.0087
-9.12E-07,0.009091,0.247431,0.007115
-9.11E-07,0.001217,0.405534,0.022925
-9.10E-07,0.016965,0.247431,0.01502
-9.09E-07,0.001217,0.247431,0.299605
-9.08E-07,-0.02256,0.405534,0.109881
-9.07E-07,-0.01469,-0.06877,0.01502
-9.06E-07,-0.03043,0.089328,-0.0166
-9.05E-07,-0.01469,0.247431,0.022925
-9.04E-07,-0.01469,0.089328,0.03083
-9.03E-07,0.001217,-0.06877,0.01502
-9.02E-07,-0.00666,0.247431,0.007115
-9.01E-07,-0.00666,0.089328,0.007115
-9.00E-07,0.001217,-0.06877,0.01502
-8.99E-07,0.001217,0.247431,0.022925
-8.98E-07,0.009091,0.247431,0.038735
-8.97E-07,0.024839,0.089328,0.252174
-8.96E-07,-0.00666,0.247431,0.078261
-8.95E-07,-0.02256,-0.06877,-0.0087
